Acronym,SAT ID,Launch,(expected) EOL,Satellite Programme,Agencies,Orbit,Altitude,Longitude,Inclination,Ect,Sat status,Payload,WIGOS Station Identifier,Link,Last update
Aditya-1,469,02 Sep 2023,≥2028,"Aditya
","ISRO
",L1,1500000 km,,,,Operational,"ASPEX
HEL1OS
Magnetometer (Aditya)
PAPA
SUIT
SoLEXS
VELC",-20009--,,2025-04-07 08:56:38
CartoSat-1 (IRS-P5),20,05 May 2005,05 May 2019,Satellite for Cartography,"ISRO
",SunSync,618 km,,,10:15 desc,Inactive,PAN (CartoSat-1),,,2020-01-03 20:24:08
CartoSat-2,21,10 Jan 2007,13 Aug 2019,Satellite for Cartography,"ISRO
",SunSync,635 km,,,09:30 desc,Inactive,PAN (CartoSat-2A/B),,,2020-01-03 20:29:02
CartoSat-2A,22,28 Apr 2008,≥2026,Satellite for Cartography,"ISRO
",SunSync,635 km,,,09:32 desc,Operational,PAN (CartoSat-2A/B),,,2026-01-19 13:23:10
CartoSat-2B,23,12 Jul 2010,≥2026,Satellite for Cartography,"ISRO
",SunSync,640 km,,,09:30 desc,Operational,PAN (CartoSat-2A/B),,,2026-01-19 13:23:10
CartoSat-2C,593,22 Jun 2016,≥2026,Satellite for Cartography,"ISRO
",SunSync,505 km,,,09:28 desc,Operational,"EvM
HRMX
PAN (CartoSat 2C/D",0-20009-0-,,2026-02-02 16:13:44
CartoSat-2D,594,15 Feb 2017,≥2026,Satellite for Cartography,"ISRO
",SunSync,515 km,,,09:30 desc,Operational,"EvM
HRMX
PAN (CartoSat 2C/D",0-20009-0-,,2026-02-02 16:12:12
CartoSat-2E,660,23 Jun 2017,≥2026,Satellite for Cartography,"ISRO
",SunSync,505 km,,,09:29 desc,Operational,"EvM
HRMX
PAN (CartoSat 2C/D",0-20009-0-,,2026-02-02 15:34:30
CartoSat-2F,738,12 Jan 2018,≥2026,Satellite for Cartography,"ISRO
",SunSync,505 km,,,09:37 desc,Operational,"EvM
HRMX
PAN (CartoSat 2C/D",0-20009-0-,,2026-02-02 17:07:27
CartoSat-3,24,27 Nov 2019,≥2026,Satellite for Cartography,"ISRO
",SunSync,450 km,,,09:30 desc,Operational,"MX
PAN (CartoSat-3)",,,2026-01-19 13:23:10
EOS 03,526,11 Aug 2021,11 Aug 2021,Geostationary High Resolution Imager,"ISRO
",GEO,35786 km,85.5 ° E,,,Lost at launch,"HyS-SWIR
HyS-VNIR
MX-LWIR
MX-VNIR",,,2021-08-13 18:58:57
EOS-01,805,07 Nov 2020,≥2026,Radar Imaging Satellite,"ISRO
",DRIFT,555 km,,37°,,Operational,SAR-X (RISAT-2),0-20009-0-,,2026-02-02 15:47:29
EOS-04,604,14 Feb 2022,≥2027,Radar Imaging Satellite,"ISRO
",SunSync,529 km,,,06:00 desc,Operational,SAR-C (RISAT),,,2023-07-24 08:50:54
EOS-07,996,10 Feb 2023,≥2026,Indian Microsat,"ISRO
",DRIFT,450 km,,37.2°,,Operational,MHS (EOS-07),-20009--,,2026-02-02 16:10:50
EOS-08,1070,16 Aug 2024,≥2027,Indian Microsat,"ISRO
",DRIFT,475 km,,37.4°,,Operational,"EOIR
GNSS-R (MicroSat-2C)
SiC UV Dosimeter",-20009--,,2026-04-20 07:56:39
G20,1152,≥2028,≥2032,G20 Environmental Satellite,"ISRO
",SunSync,720 km,,,11:35 desc,Planned,"EnSAC
HyMATHS
POLSAC
SACFF",0-20009-0-0,,2026-04-20 07:53:35
HRSAT-1A,749,≥2027,≥2029,High Resolution Satellite - 1,"ISRO
",SunSync,660 km,,,09:30 desc,Planned,HRSAT-1,0-20009-0-,,2024-11-25 14:41:36
HRSAT-1B,792,≥2027,≥2029,High Resolution Satellite - 1,"ISRO
",SunSync,660 km,,,09:30 desc,Planned,HRSAT-1,0-20009-0-,,2024-11-25 14:41:51
HySIS,769,29 Nov 2018,≥2026,Hyper Spectral Imaging Spectrometer,"ISRO
",SunSync,630 km,,,10:34 desc,Operational,HySIS,0-20009-0-,,2026-02-02 17:28:54
IMS-1,179,28 Apr 2008,20 Sep 2012,Indian Mini-Satellite,"ISRO
",SunSync,632 km,,,09:30 desc,Inactive,"HySI-T
Mx-T",,,2018-03-20 12:29:30
INSAT-1A,181,10 Apr 1982,06 Sep 1982,Indian National Satellite - 1,"ISRO
",GEO,35786 km,74 ° E,,,Inactive,"DCS (INSAT)
VHRR (INSAT)",,,2015-07-28 12:23:57
INSAT-1B,182,30 Aug 1983,15 Jul 1993,Indian National Satellite - 1,"ISRO
",GEO,35786 km,74 ° E,,,Inactive,"DCS (INSAT)
VHRR (INSAT)",0-20009-0-430,,2015-07-28 12:24:40
INSAT-1C,183,22 Jul 1988,22 Nov 1989,Indian National Satellite - 1,"ISRO
",GEO,35786 km,93.5 ° E,,,Inactive,"DCS (INSAT)
VHRR (INSAT)",0-20009-0-431,,2015-07-28 12:25:13
INSAT-1D,184,12 Jun 1990,14 May 2002,Indian National Satellite - 1,"ISRO
",GEO,35786 km,74 ° E,,,Inactive,"DCS (INSAT)
VHRR (INSAT)",0-20009-0-432,,2015-07-28 12:25:50
INSAT-2A,185,10 Jul 1992,30 May 2002,Indian National Satellite - 2,"ISRO
",GEO,35786 km,74 ° E,,,Inactive,"DCS (INSAT)
SAS&R
VHRR (INSAT)",0-20009-0-450,,2015-07-28 12:26:29
